site_id,timestamp,biomass_density_g_L,biomass_produced_kg,water_temp_C,pH,dissolved_O2_mg_L,dissolved_CO2_mg_L,turbidity_NTU,light_PAR,harvested_g_L
site-a,2026-08-11T03:00:00Z,0.9878,0.0,24.96,9.31,6.74,21.53,54.3,0.0,0.0
site-a,2026-08-11T04:00:00Z,0.9878,0.0,25.37,9.36,6.61,21.78,54.1,0.0,0.0
site-a,2026-08-11T05:00:00Z,0.9878,0.0,26.36,9.3,6.98,21.55,56.7,0.0,0.0
site-a,2026-08-11T06:00:00Z,0.9896,79.7865,27.45,9.69,9.19,16.67,54.2,316.2,0.0
site-a,2026-08-11T07:00:00Z,0.9919,104.4691,28.26,9.85,11.04,13.94,56.3,768.0,0.0
site-a,2026-08-11T08:00:00Z,0.9943,109.9728,29.68,9.91,11.4,13.83,58.0,1177.4,0.0
site-a,2026-08-11T09:00:00Z,0.9971,125.8906,31.24,9.97,11.53,13.81,54.8,1521.9,0.0
site-a,2026-08-11T10:00:00Z,0.9998,123.2392,32.25,9.89,10.64,13.05,57.7,1782.5,0.0
site-a,2026-08-11T11:00:00Z,1.0024,117.2055,33.88,9.83,10.75,14.17,53.9,1944.9,0.0
site-a,2026-08-11T12:00:00Z,1.005,116.3639,34.72,9.83,10.29,13.8,57.2,2000.0,0.0
site-a,2026-08-11T13:00:00Z,1.0079,132.0933,36.1,9.82,10.63,14.3,53.2,1944.9,0.0
site-a,2026-08-11T14:00:00Z,1.0103,107.5373,36.36,9.85,11.07,11.9,55.0,1782.5,0.0
site-a,2026-08-11T15:00:00Z,1.0133,135.3107,36.26,9.91,11.23,12.73,54.7,1521.9,0.0
site-a,2026-08-11T16:00:00Z,1.0162,130.6877,36.29,9.86,11.06,13.48,52.8,1177.4,0.0
site-a,2026-08-11T17:00:00Z,1.0186,111.9067,35.55,9.84,10.71,13.45,53.7,768.0,0.0
site-a,2026-08-11T18:00:00Z,1.0206,86.9982,34.88,9.72,9.48,15.19,54.6,316.2,0.0
site-a,2026-08-11T19:00:00Z,1.0206,0.0,34.27,9.33,6.99,21.32,53.7,0.0,0.0
site-a,2026-08-11T20:00:00Z,1.0206,0.0,32.47,9.34,6.75,22.14,56.1,0.0,0.0
site-a,2026-08-11T21:00:00Z,1.0206,0.0,30.97,9.32,6.93,21.67,56.3,0.0,0.0
site-a,2026-08-11T22:00:00Z,1.0206,0.0,29.39,9.36,6.99,22.55,56.0,0.0,0.0
site-a,2026-08-11T23:00:00Z,1.0206,0.0,28.11,9.3,6.99,21.93,54.3,0.0,0.0
site-a,2026-08-12T00:00:00Z,1.0206,0.0,27.43,9.35,6.91,22.62,58.3,0.0,0.0
site-a,2026-08-12T01:00:00Z,1.0206,0.0,26.13,9.32,6.59,21.33,59.3,0.0,0.0
site-a,2026-08-12T02:00:00Z,1.0206,0.0,25.43,9.37,6.87,22.39,51.4,0.0,0.0
site-a,2026-08-12T03:00:00Z,1.0206,0.0,25.95,9.35,6.7,22.67,55.5,0.0,0.0
site-a,2026-08-12T04:00:00Z,1.0206,0.0,25.69,9.34,6.83,22.2,55.0,0.0,0.0
site-a,2026-08-12T05:00:00Z,1.0206,0.0,26.15,9.42,7.03,21.35,55.0,0.0,0.0
site-a,2026-08-12T06:00:00Z,1.0221,68.1112,27.22,9.75,9.93,16.02,58.1,310.0,0.0
site-a,2026-08-12T07:00:00Z,1.024,86.2881,27.95,9.9,10.74,13.19,57.0,763.2,0.0
site-a,2026-08-12T08:00:00Z,1.0263,106.5616,29.71,9.9,11.01,12.59,57.5,1174.0,0.0
site-a,2026-08-12T09:00:00Z,1.029,119.3919,30.63,9.92,11.12,11.74,56.9,1519.9,0.0
site-a,2026-08-12T10:00:00Z,1.0316,118.0218,32.53,9.88,11.15,13.82,55.0,1781.6,0.0
site-a,2026-08-12T11:00:00Z,1.034,109.2467,34.22,9.86,10.55,14.25,57.0,1944.6,0.0
site-a,2026-08-12T12:00:00Z,1.0365,115.8199,34.83,9.82,10.69,13.69,55.6,2000.0,0.0
site-a,2026-08-12T13:00:00Z,1.039,109.1032,35.79,9.82,11.03,13.86,56.2,1944.6,0.0
site-a,2026-08-12T14:00:00Z,1.0415,112.8561,35.59,9.86,11.14,12.82,54.3,1781.6,0.0
site-a,2026-08-12T15:00:00Z,1.044,116.8136,36.2,9.89,11.33,12.19,57.5,1519.9,0.0
site-a,2026-08-12T16:00:00Z,1.0467,119.5079,36.09,9.82,11.16,13.56,58.9,1174.0,0.0
site-a,2026-08-12T17:00:00Z,1.0489,101.3157,36.05,9.84,10.76,14.02,58.8,763.2,0.0
site-a,2026-08-12T18:00:00Z,1.0506,78.3655,35.03,9.75,9.66,15.28,56.4,310.0,0.0
site-a,2026-08-12T19:00:00Z,1.0506,0.0,33.32,9.38,6.73,21.72,57.3,0.0,0.0
site-a,2026-08-12T20:00:00Z,1.0506,0.0,32.2,9.33,7.22,22.06,54.6,0.0,0.0
site-a,2026-08-12T21:00:00Z,1.0506,0.0,30.44,9.34,6.65,21.69,57.0,0.0,0.0
site-a,2026-08-12T22:00:00Z,1.0506,0.0,29.76,9.36,6.68,22.94,54.3,0.0,0.0
site-a,2026-08-12T23:00:00Z,1.0506,0.0,28.3,9.33,7.02,21.05,57.3,0.0,0.0
site-a,2026-08-13T00:00:00Z,1.0506,0.0,26.89,9.31,6.71,21.42,57.5,0.0,0.0
site-a,2026-08-13T01:00:00Z,1.0506,0.0,26.19,9.36,6.79,21.65,55.8,0.0,0.0
site-a,2026-08-13T02:00:00Z,1.0506,0.0,25.47,9.36,6.65,21.68,54.9,0.0,0.0
site-a,2026-08-13T03:00:00Z,1.0506,0.0,25.89,9.29,6.66,22.8,58.0,0.0,0.0
site-a,2026-08-13T04:00:00Z,1.0506,0.0,26.01,9.37,6.81,20.73,56.9,0.0,0.0
site-a,2026-08-13T05:00:00Z,1.0506,0.0,26.44,9.29,7.06,22.13,58.8,0.0,0.0
site-a,2026-08-13T06:00:00Z,1.0519,56.2731,27.25,9.75,9.65,16.33,57.0,303.8,0.0
site-a,2026-08-13T07:00:00Z,1.0538,86.1973,28.4,9.81,10.61,14.07,57.8,758.3,0.0
site-a,2026-08-13T08:00:00Z,1.0559,95.768,29.09,9.81,10.82,12.71,55.4,1170.6,0.0
site-a,2026-08-13T09:00:00Z,0.6877,92.282,30.35,9.88,11.65,12.31,44.3,1517.8,0.3703
site-a,2026-08-13T10:00:00Z,0.692,195.7645,32.21,9.89,11.09,13.73,43.0,1780.6,0.0
site-a,2026-08-13T11:00:00Z,0.6964,200.7961,33.9,9.86,10.81,13.27,43.7,1944.4,0.0
site-a,2026-08-13T12:00:00Z,0.7003,174.5557,34.89,9.78,10.26,14.0,44.9,2000.0,0.0
site-a,2026-08-13T13:00:00Z,0.7041,172.7307,35.77,9.83,10.68,12.99,43.3,1944.4,0.0
site-a,2026-08-13T14:00:00Z,0.7084,196.2778,35.98,9.83,10.91,12.84,43.2,1780.6,0.0
site-a,2026-08-13T15:00:00Z,0.7133,221.8541,36.4,9.94,11.05,12.88,44.6,1517.8,0.0
site-a,2026-08-13T16:00:00Z,0.7176,192.2078,36.5,9.91,11.05,13.59,40.5,1170.6,0.0
site-a,2026-08-13T17:00:00Z,0.7217,186.7295,36.06,9.84,10.63,14.15,44.8,758.3,0.0
site-a,2026-08-13T18:00:00Z,0.7245,127.6766,35.09,9.77,9.62,15.57,42.9,303.8,0.0
site-a,2026-08-13T19:00:00Z,0.7245,0.0,33.66,9.37,6.75,22.21,47.2,0.0,0.0
site-a,2026-08-13T20:00:00Z,0.7245,0.0,32.49,9.37,6.89,22.22,44.5,0.0,0.0
site-a,2026-08-13T21:00:00Z,0.7245,0.0,31.34,9.32,6.59,21.52,44.1,0.0,0.0
site-a,2026-08-13T22:00:00Z,0.7245,0.0,29.86,9.37,7.02,21.61,42.4,0.0,0.0
site-a,2026-08-13T23:00:00Z,0.7245,0.0,28.65,9.35,7.13,22.3,46.4,0.0,0.0
site-a,2026-08-14T00:00:00Z,0.7245,0.0,26.89,9.33,7.06,21.71,44.5,0.0,0.0
site-a,2026-08-14T01:00:00Z,0.7245,0.0,26.53,9.37,6.55,22.46,43.9,0.0,0.0
site-a,2026-08-14T02:00:00Z,0.7245,0.0,25.76,9.39,6.7,21.81,43.8,0.0,0.0
site-a,2026-08-14T03:00:00Z,0.7245,0.0,25.3,9.37,6.68,22.1,45.1,0.0,0.0
site-a,2026-08-14T04:00:00Z,0.7245,0.0,25.47,9.31,6.71,21.83,47.2,0.0,0.0
site-a,2026-08-14T05:00:00Z,0.7245,0.0,26.41,9.31,6.92,21.61,46.2,0.0,0.0
site-a,2026-08-14T06:00:00Z,0.7269,107.2361,27.37,9.71,9.73,16.11,44.8,297.4,0.0
site-a,2026-08-14T07:00:00Z,0.7299,135.4205,27.91,9.79,10.39,13.63,46.5,753.3,0.0
site-a,2026-08-14T08:00:00Z,0.734,184.0324,30.05,9.89,11.16,12.67,41.3,1167.1,0.0
site-a,2026-08-14T09:00:00Z,0.738,183.0648,31.26,9.91,11.22,12.91,44.5,1515.7,0.0
site-a,2026-08-14T10:00:00Z,0.7424,197.103,32.46,9.86,10.9,13.36,42.4,1779.6,0.0
site-a,2026-08-14T11:00:00Z,0.7463,177.1142,33.77,9.87,10.78,13.2,48.6,1944.1,0.0
site-a,2026-08-14T12:00:00Z,0.75,166.1843,35.17,9.78,10.5,14.07,44.7,2000.0,0.0
site-a,2026-08-14T13:00:00Z,0.754,181.2552,36.19,9.84,10.88,13.03,46.2,1944.1,0.0
site-a,2026-08-14T14:00:00Z,0.758,181.969,36.58,9.87,11.12,13.19,46.1,1779.6,0.0
site-a,2026-08-14T15:00:00Z,0.7625,206.1895,36.31,9.9,11.53,13.41,46.2,1515.7,0.0
site-a,2026-08-14T16:00:00Z,0.7667,189.3568,36.23,9.91,10.97,12.78,47.0,1167.1,0.0
site-a,2026-08-14T17:00:00Z,0.7706,174.5418,36.2,9.87,10.7,14.06,47.2,753.3,0.0
site-a,2026-08-14T18:00:00Z,0.7735,131.4269,34.73,9.7,9.62,16.13,45.0,297.4,0.0
site-a,2026-08-14T19:00:00Z,0.7735,0.0,33.83,9.36,6.87,21.38,45.7,0.0,0.0
site-a,2026-08-14T20:00:00Z,0.7735,0.0,32.45,9.35,6.99,21.58,45.5,0.0,0.0
site-a,2026-08-14T21:00:00Z,0.7735,0.0,30.96,9.34,6.69,22.51,45.7,0.0,0.0
site-a,2026-08-14T22:00:00Z,0.7735,0.0,29.62,9.3,6.95,21.76,47.2,0.0,0.0
site-a,2026-08-14T23:00:00Z,0.7735,0.0,27.87,9.31,6.66,21.9,47.1,0.0,0.0
site-a,2026-08-15T00:00:00Z,0.7735,0.0,27.19,9.32,6.74,22.17,45.6,0.0,0.0
site-a,2026-08-15T01:00:00Z,0.7735,0.0,25.97,9.36,7.05,21.76,44.2,0.0,0.0
site-a,2026-08-15T02:00:00Z,0.7735,0.0,25.86,9.32,6.78,22.96,46.4,0.0,0.0
site-a,2026-08-15T03:00:00Z,0.7735,0.0,25.66,9.41,6.45,21.78,44.0,0.0,0.0
site-a,2026-08-15T04:00:00Z,0.7735,0.0,25.03,9.37,6.81,22.22,48.0,0.0,0.0
site-a,2026-08-15T05:00:00Z,0.7735,0.0,26.66,9.4,6.7,22.18,45.0,0.0,0.0
site-a,2026-08-15T06:00:00Z,0.7756,94.9019,27.13,9.67,9.5,15.97,46.4,290.9,0.0
site-a,2026-08-15T07:00:00Z,0.7788,144.5377,28.13,9.85,10.8,13.72,45.6,748.3,0.0
site-a,2026-08-15T08:00:00Z,0.7825,168.9093,29.37,9.86,11.15,12.91,46.4,1163.6,0.0
site-a,2026-08-15T09:00:00Z,0.7867,187.8268,31.09,9.89,11.28,12.76,46.9,1513.6,0.0
site-a,2026-08-15T10:00:00Z,0.7908,185.3573,32.69,9.89,10.97,13.92,48.0,1778.6,0.0
site-a,2026-08-15T11:00:00Z,0.7943,160.1935,33.71,9.81,10.83,13.36,46.0,1943.9,0.0
site-a,2026-08-15T12:00:00Z,0.7979,162.4894,35.27,9.79,10.64,14.32,47.3,2000.0,0.0
site-a,2026-08-15T13:00:00Z,0.8016,168.2396,35.81,9.83,10.78,12.8,44.5,1943.9,0.0
site-a,2026-08-15T14:00:00Z,0.8054,172.358,36.06,9.86,11.02,13.7,42.8,1778.6,0.0
site-a,2026-08-15T15:00:00Z,0.81,207.6884,36.48,9.91,11.43,12.58,47.8,1513.6,0.0
site-a,2026-08-15T16:00:00Z,0.8141,183.988,36.15,9.87,10.96,13.0,46.2,1163.6,0.0
site-a,2026-08-15T17:00:00Z,0.8177,161.727,35.59,9.81,10.63,14.14,49.0,748.3,0.0
site-a,2026-08-15T18:00:00Z,0.8203,121.4693,34.72,9.71,9.37,16.38,49.4,290.9,0.0
site-a,2026-08-15T19:00:00Z,0.8203,0.0,33.71,9.37,6.88,21.85,47.0,0.0,0.0
site-a,2026-08-15T20:00:00Z,0.8203,0.0,31.77,9.34,6.96,22.07,48.8,0.0,0.0
site-a,2026-08-15T21:00:00Z,0.8203,0.0,31.09,9.31,6.25,21.56,47.4,0.0,0.0
site-a,2026-08-15T22:00:00Z,0.8203,0.0,29.47,9.32,6.96,21.72,45.9,0.0,0.0
site-a,2026-08-15T23:00:00Z,0.8203,0.0,28.18,9.33,6.66,21.72,49.9,0.0,0.0
site-a,2026-08-16T00:00:00Z,0.8203,0.0,26.98,9.35,6.8,22.06,47.2,0.0,0.0
site-a,2026-08-16T01:00:00Z,0.8203,0.0,25.99,9.37,6.8,22.04,49.9,0.0,0.0
site-a,2026-08-16T02:00:00Z,0.8203,0.0,25.87,9.37,6.88,22.21,51.5,0.0,0.0
site-a,2026-08-16T03:00:00Z,0.8203,0.0,25.89,9.38,7.09,22.3,49.3,0.0,0.0
site-a,2026-08-16T04:00:00Z,0.8203,0.0,26.2,9.35,7.18,21.82,47.6,0.0,0.0
site-a,2026-08-16T05:00:00Z,0.8203,0.0,26.39,9.3,7.03,21.29,48.3,0.0,0.0
site-a,2026-08-16T06:00:00Z,0.8222,83.0661,26.74,9.71,9.92,16.42,51.5,284.4,0.0
site-a,2026-08-16T07:00:00Z,0.8252,137.8003,28.14,9.9,10.9,13.97,49.3,743.1,0.0
site-a,2026-08-16T08:00:00Z,0.8284,145.4475,29.02,9.88,10.91,12.66,51.1,1160.0,0.0
site-a,2026-08-16T09:00:00Z,0.8324,177.5913,30.75,9.97,11.22,12.89,48.3,1511.4,0.0
site-a,2026-08-16T10:00:00Z,0.8358,156.9273,32.55,9.93,10.83,13.82,47.2,1777.6,0.0
site-a,2026-08-16T11:00:00Z,0.8392,154.3343,33.89,9.79,10.15,14.17,47.8,1943.6,0.0
site-a,2026-08-16T12:00:00Z,0.8424,144.3087,35.1,9.83,10.94,14.23,49.7,2000.0,0.0
site-a,2026-08-16T13:00:00Z,0.8461,167.8477,35.96,9.82,10.53,14.39,47.9,1943.6,0.0
site-a,2026-08-16T14:00:00Z,0.8498,165.2605,36.65,9.85,11.16,13.08,48.7,1777.6,0.0
site-a,2026-08-16T15:00:00Z,0.8535,169.3155,36.35,9.9,11.21,13.64,46.0,1511.4,0.0
site-a,2026-08-16T16:00:00Z,0.8573,172.2449,35.93,9.88,10.81,12.62,49.7,1160.0,0.0
site-a,2026-08-16T17:00:00Z,0.8608,155.9101,35.75,9.86,10.42,14.07,50.5,743.1,0.0
site-a,2026-08-16T18:00:00Z,0.8632,108.8151,34.69,9.7,9.18,17.13,51.0,284.4,0.0
site-a,2026-08-16T19:00:00Z,0.8632,0.0,34.16,9.3,6.62,21.72,48.0,0.0,0.0
site-a,2026-08-16T20:00:00Z,0.8632,0.0,32.25,9.37,6.66,22.82,50.1,0.0,0.0
site-a,2026-08-16T21:00:00Z,0.8632,0.0,30.73,9.32,6.71,21.64,49.2,0.0,0.0
site-a,2026-08-16T22:00:00Z,0.8632,0.0,29.92,9.36,6.9,22.05,50.0,0.0,0.0
site-a,2026-08-16T23:00:00Z,0.8632,0.0,28.36,9.35,6.5,23.19,48.3,0.0,0.0
site-a,2026-08-17T00:00:00Z,0.8632,0.0,27.22,9.39,6.9,22.56,47.2,0.0,0.0
site-a,2026-08-17T01:00:00Z,0.8632,0.0,25.86,9.36,7.08,22.24,50.4,0.0,0.0
site-a,2026-08-17T02:00:00Z,0.8632,0.0,25.52,9.4,7.03,22.01,47.5,0.0,0.0
site-a,2026-08-17T03:00:00Z,0.8632,0.0,25.17,9.31,6.84,21.73,50.4,0.0,0.0
site-a,2026-08-17T04:00:00Z,0.8632,0.0,25.88,9.37,7.08,22.61,52.1,0.0,0.0
site-a,2026-08-17T05:00:00Z,0.8632,0.0,26.76,9.38,7.22,22.32,47.7,0.0,0.0
site-a,2026-08-17T06:00:00Z,0.8653,94.682,27.24,9.72,9.53,16.16,47.4,277.7,0.0
site-a,2026-08-17T07:00:00Z,0.8682,133.3804,28.48,9.89,10.72,13.43,52.7,737.9,0.0
site-a,2026-08-17T08:00:00Z,0.8716,153.4142,29.21,9.83,11.29,12.0,48.5,1156.3,0.0
site-a,2026-08-17T09:00:00Z,0.8752,164.1363,31.14,9.94,11.21,12.08,48.8,1509.2,0.0
site-a,2026-08-17T10:00:00Z,0.8787,154.4744,32.54,9.81,11.06,12.63,50.6,1776.6,0.0
site-a,2026-08-17T11:00:00Z,0.8819,147.4707,33.78,9.83,10.94,12.86,50.5,1943.3,0.0
site-a,2026-08-17T12:00:00Z,0.8849,136.8046,34.8,9.83,10.51,13.93,51.3,2000.0,0.0
site-a,2026-08-17T13:00:00Z,0.8884,156.491,35.91,9.87,10.68,14.15,52.8,1943.3,0.0
site-a,2026-08-17T14:00:00Z,0.8918,153.9356,36.14,9.87,10.84,12.44,50.2,1776.6,0.0
site-a,2026-08-17T15:00:00Z,0.8954,161.3921,36.47,9.9,10.95,11.86,52.3,1509.2,0.0
site-a,2026-08-17T16:00:00Z,0.8988,155.8459,36.31,9.89,10.89,13.35,52.2,1156.3,0.0
site-a,2026-08-17T17:00:00Z,0.9019,139.2882,35.73,9.83,10.58,14.18,53.4,737.9,0.0
site-a,2026-08-17T18:00:00Z,0.9041,98.6254,34.65,9.69,9.67,16.03,51.1,277.7,0.0
site-a,2026-08-17T19:00:00Z,0.9041,0.0,33.49,9.33,7.12,21.99,52.4,0.0,0.0
site-a,2026-08-17T20:00:00Z,0.9041,0.0,32.2,9.35,6.97,21.89,49.6,0.0,0.0
site-a,2026-08-17T21:00:00Z,0.9041,0.0,31.07,9.37,6.24,21.23,49.3,0.0,0.0
site-a,2026-08-17T22:00:00Z,0.9041,0.0,29.5,9.38,6.88,22.83,49.1,0.0,0.0
site-a,2026-08-17T23:00:00Z,0.9041,0.0,28.21,9.31,6.74,22.1,50.1,0.0,0.0
site-a,2026-08-18T00:00:00Z,0.9041,0.0,27.42,9.39,6.89,21.6,51.7,0.0,0.0
site-a,2026-08-18T01:00:00Z,0.9041,0.0,26.47,9.32,6.8,22.36,49.0,0.0,0.0
site-a,2026-08-18T02:00:00Z,0.9041,0.0,25.23,9.33,6.63,22.74,50.5,0.0,0.0
site-a,2026-08-18T03:00:00Z,0.9041,0.0,25.42,9.37,6.89,21.95,51.4,0.0,0.0
site-a,2026-08-18T04:00:00Z,0.9041,0.0,25.84,9.33,6.91,22.34,51.7,0.0,0.0
site-a,2026-08-18T05:00:00Z,0.9041,0.0,26.33,9.34,6.82,21.24,50.1,0.0,0.0
site-a,2026-08-18T06:00:00Z,0.9057,75.6392,26.68,9.71,9.67,16.5,51.7,271.0,0.0
site-a,2026-08-18T07:00:00Z,0.9084,121.584,28.66,9.87,10.63,13.67,51.5,732.7,0.0
site-a,2026-08-18T08:00:00Z,0.9114,134.9593,29.65,9.9,11.26,13.86,51.6,1152.6,0.0
site-a,2026-08-18T09:00:00Z,0.9147,148.8323,30.88,9.91,11.03,13.21,50.0,1507.0,0.0
site-a,2026-08-18T10:00:00Z,0.9179,143.2421,32.29,9.89,11.01,12.94,51.9,1775.6,0.0
site-a,2026-08-18T11:00:00Z,0.9209,135.9034,33.91,9.85,10.49,13.56,52.0,1943.1,0.0
site-a,2026-08-18T12:00:00Z,0.9238,133.274,34.7,9.82,10.66,14.37,53.2,2000.0,0.0
site-a,2026-08-18T13:00:00Z,0.9272,152.6497,36.12,9.85,10.73,14.06,49.3,1943.1,0.0
site-a,2026-08-18T14:00:00Z,0.9307,158.8621,36.08,9.88,11.07,13.32,53.0,1775.6,0.0
site-a,2026-08-18T15:00:00Z,0.9341,154.942,36.19,9.89,11.43,12.35,53.7,1507.0,0.0
site-a,2026-08-18T16:00:00Z,0.9375,153.367,36.64,9.89,11.21,12.23,52.2,1152.6,0.0
site-a,2026-08-18T17:00:00Z,0.9405,133.9977,35.68,9.8,10.9,13.58,51.4,732.7,0.0
site-a,2026-08-18T18:00:00Z,0.9424,87.1846,35.12,9.68,9.45,16.2,54.1,271.0,0.0
site-a,2026-08-18T19:00:00Z,0.9424,0.0,33.79,9.37,6.62,21.47,54.0,0.0,0.0
site-a,2026-08-18T20:00:00Z,0.9424,0.0,32.47,9.31,7.17,21.74,50.0,0.0,0.0
site-a,2026-08-18T21:00:00Z,0.9424,0.0,31.11,9.37,6.77,22.69,53.6,0.0,0.0
site-a,2026-08-18T22:00:00Z,0.9424,0.0,29.33,9.35,7.0,21.07,51.6,0.0,0.0
site-a,2026-08-18T23:00:00Z,0.9424,0.0,28.06,9.35,6.78,22.04,54.4,0.0,0.0
site-a,2026-08-19T00:00:00Z,0.9424,0.0,26.96,9.4,6.81,21.19,53.1,0.0,0.0
site-a,2026-08-19T01:00:00Z,0.9424,0.0,25.98,9.33,6.89,22.15,50.1,0.0,0.0
site-a,2026-08-19T02:00:00Z,0.9424,0.0,25.94,9.37,6.62,21.99,52.2,0.0,0.0
site-a,2026-08-19T03:00:00Z,0.9424,0.0,25.1,9.35,6.9,22.63,52.9,0.0,0.0
site-a,2026-08-19T04:00:00Z,0.9424,0.0,25.54,9.34,6.85,22.04,50.0,0.0,0.0
site-a,2026-08-19T05:00:00Z,0.9424,0.0,26.42,9.37,6.77,22.29,49.4,0.0,0.0
site-a,2026-08-19T06:00:00Z,0.9439,68.1475,27.15,9.64,9.58,16.7,51.9,264.2,0.0
site-a,2026-08-19T07:00:00Z,0.9464,110.9286,28.44,9.82,10.67,14.39,53.4,727.3,0.0
site-a,2026-08-19T08:00:00Z,0.9491,122.8708,29.7,9.86,10.71,12.17,53.4,1148.9,0.0
site-a,2026-08-19T09:00:00Z,0.952,132.6836,30.59,9.92,11.34,12.95,51.8,1504.7,0.0
site-a,2026-08-19T10:00:00Z,0.9552,143.3625,32.24,9.85,10.79,13.29,51.7,1774.5,0.0
site-a,2026-08-19T11:00:00Z,0.9579,121.9159,33.87,9.86,10.61,13.84,55.0,1942.8,0.0
site-a,2026-08-19T12:00:00Z,0.9606,125.973,34.78,9.81,10.96,13.87,52.7,2000.0,0.0
site-a,2026-08-19T13:00:00Z,0.9632,115.7458,35.87,9.81,10.5,13.57,53.7,1942.8,0.0
site-a,2026-08-19T14:00:00Z,0.9664,142.7339,36.39,9.9,10.78,13.8,51.9,1774.5,0.0
site-a,2026-08-19T15:00:00Z,0.9693,134.6822,36.82,9.9,11.2,12.33,54.3,1504.7,0.0
site-a,2026-08-19T16:00:00Z,0.9728,156.8572,36.01,9.87,11.32,12.69,55.6,1148.9,0.0
site-a,2026-08-19T17:00:00Z,0.9757,129.1899,35.78,9.79,10.56,14.07,52.2,727.3,0.0
site-a,2026-08-19T18:00:00Z,0.9776,87.2093,34.78,9.71,9.61,16.92,54.1,264.2,0.0
site-a,2026-08-19T19:00:00Z,0.9776,0.0,33.66,9.35,6.89,22.08,54.2,0.0,0.0
site-a,2026-08-19T20:00:00Z,0.9776,0.0,32.14,9.36,6.73,21.89,53.8,0.0,0.0
site-a,2026-08-19T21:00:00Z,0.9776,0.0,31.42,9.38,6.97,21.73,55.4,0.0,0.0
site-a,2026-08-19T22:00:00Z,0.9776,0.0,29.05,9.32,6.7,22.5,54.6,0.0,0.0
site-a,2026-08-19T23:00:00Z,0.9776,0.0,28.54,9.35,6.91,22.26,53.6,0.0,0.0
site-a,2026-08-20T00:00:00Z,0.9776,0.0,27.11,9.31,6.88,22.07,52.0,0.0,0.0
site-a,2026-08-20T01:00:00Z,0.9776,0.0,26.07,9.3,6.97,21.78,52.3,0.0,0.0
site-a,2026-08-20T02:00:00Z,0.9776,0.0,25.89,9.34,6.49,22.16,52.9,0.0,0.0
site-a,2026-08-20T03:00:00Z,0.9776,0.0,25.55,9.34,6.83,21.83,55.2,0.0,0.0
site-a,2026-08-20T04:00:00Z,0.9776,0.0,25.29,9.34,7.07,21.78,52.8,0.0,0.0
site-a,2026-08-20T05:00:00Z,0.9776,0.0,26.45,9.38,6.94,22.24,52.5,0.0,0.0
site-a,2026-08-20T06:00:00Z,0.9791,67.2789,27.15,9.67,9.4,15.69,54.4,257.3,0.0
site-a,2026-08-20T07:00:00Z,0.9813,103.0675,28.39,9.82,10.73,13.58,53.3,721.9,0.0
site-a,2026-08-20T08:00:00Z,0.9839,117.0208,29.33,9.85,10.88,13.09,57.0,1145.1,0.0
site-a,2026-08-20T09:00:00Z,0.9869,135.6142,31.13,9.9,11.43,12.61,54.8,1502.4,0.0
site-a,2026-08-20T10:00:00Z,0.9897,127.4854,32.4,9.87,10.68,12.78,53.9,1773.4,0.0
site-a,2026-08-20T11:00:00Z,0.9923,116.429,34.08,9.83,10.78,12.51,53.6,1942.5,0.0
site-a,2026-08-20T12:00:00Z,0.9948,112.9583,35.11,9.88,10.53,13.88,55.3,2000.0,0.0
site-a,2026-08-20T13:00:00Z,0.9976,128.0592,35.4,9.78,10.39,14.06,54.2,1942.5,0.0
site-a,2026-08-20T14:00:00Z,1.0005,129.9275,36.31,9.92,10.79,13.46,54.6,1773.4,0.0
site-a,2026-08-20T15:00:00Z,1.0032,123.3458,36.5,9.99,11.19,12.17,56.8,1502.4,0.0
site-a,2026-08-20T16:00:00Z,1.006,123.8684,36.14,9.89,11.3,12.32,54.1,1145.1,0.0
site-a,2026-08-20T17:00:00Z,1.0086,118.0537,36.38,9.86,10.98,13.83,55.2,721.9,0.0
site-a,2026-08-20T18:00:00Z,1.0104,81.14,34.9,9.68,9.51,17.43,52.7,257.3,0.0
site-a,2026-08-20T19:00:00Z,1.0104,0.0,33.48,9.28,6.77,21.49,55.6,0.0,0.0
site-a,2026-08-20T20:00:00Z,1.0104,0.0,32.1,9.38,6.82,22.79,52.4,0.0,0.0
site-a,2026-08-20T21:00:00Z,1.0104,0.0,31.01,9.34,6.66,22.14,52.1,0.0,0.0
site-a,2026-08-20T22:00:00Z,1.0104,0.0,29.11,9.32,6.87,21.27,55.8,0.0,0.0
site-a,2026-08-20T23:00:00Z,1.0104,0.0,28.45,9.34,6.59,22.33,56.0,0.0,0.0
site-a,2026-08-21T00:00:00Z,1.0104,0.0,27.1,9.34,6.8,22.24,53.6,0.0,0.0
site-a,2026-08-21T01:00:00Z,1.0104,0.0,26.37,9.34,6.71,20.76,54.5,0.0,0.0
site-a,2026-08-21T02:00:00Z,1.0104,0.0,25.51,9.41,6.74,22.11,58.5,0.0,0.0
site-a,2026-08-21T03:00:00Z,1.0104,0.0,25.48,9.34,6.67,22.11,54.3,0.0,0.0
site-a,2026-08-21T04:00:00Z,1.0104,0.0,25.59,9.44,6.84,22.09,55.3,0.0,0.0
site-a,2026-08-21T05:00:00Z,1.0104,0.0,26.08,9.35,6.8,21.85,55.6,0.0,0.0
site-a,2026-08-21T06:00:00Z,1.0117,59.3385,27.02,9.68,9.41,15.83,53.2,250.3,0.0
